aarónica	aaˈɾonika
acoyuntadas	akoʝuntaðas
acoyuntado	akoʝuntaðo
acoyuntados	akoʝuntaðos
acoyuntamos	akoʝuntamos
acoyuntan	akoʝuntan
acoyuntando	akoʝuntando
acoyuntar	akoʝuntaɾ
acoyuntara	akoʝuntaɾa
acoyuntarais	akoʝuntaɾais
acoyuntaran	akoʝuntaɾan
acoyuntaras	akoʝuntaɾas
acoyuntare	akoʝuntaɾe
acoyuntareis	akoʝuntaɾeis
acoyuntaremos	akoʝuntaɾemos
acoyuntaren	akoʝuntaɾen
acoyuntares	akoʝuntaɾes
acoyuntaron	akoʝuntaɾon
acoyuntará	akoʝuntaˈɾa
acoyuntarán	akoʝuntaˈɾan
acoyuntarás	akoʝuntaˈɾas
acoyuntaré	akoʝuntaˈɾe
acoyuntaréis	akoʝuntaˈɾeis
acoyuntaría	akoʝuntaˈɾia
acoyuntaríais	akoʝuntaˈɾiais
acoyuntaríamos	akoʝuntaˈɾiamos
acoyuntarían	akoʝuntaˈɾian
acoyuntarías	akoʝuntaˈɾias
acoyuntas	akoʝuntas
acoyuntase	akoʝuntase
acoyuntaseis	akoʝuntaseis
acoyuntasen	akoʝuntasen
acoyuntases	akoʝuntases
acoyuntaste	akoʝuntaste
acoyuntasteis	akoʝuntasteis
acoyunte	akoʝunte
acoyuntemos	akoʝuntemos
acoyunten	akoʝunten
acoyuntero	akoʝunteɾo
acoyunteros	akoʝunteɾos
acoyuntes	akoʝuntes
acoyunto	akoʝunto
acoyuntábamos	akoʝunˈtaβamos
acoyuntáis	akoʝunˈtais
acoyuntáramos	akoʝunˈtaɾamos
acoyuntáremos	akoʝunˈtaɾemos
acoyuntásemos	akoʝunˈtasemos
acoyunté	akoʝunˈte
acoyuntéis	akoʝunˈteis
acoyuntó	akoʝunˈto
acracia	akɾasja
acracias	akɾasjas
acre	akɾe
acrea	akɾea
acreamos	akɾeamos
acrean	akɾean
acreas	akɾeas
acrece	akɾese
acreced	akɾeseð
acrecemos	akɾesemos
acrecen	akɾesen
acrecencia	akɾesensja
acrecencias	akɾesensjas
acrecentaba	akɾesentaβa
acrecentabais	akɾesentaβais
acrecentaban	akɾesentaβan
acrecentabas	akɾesentaβas
acrecentad	akɾesentað
acrecentada	akɾesentaða
acrecentadas	akɾesentaðas
acrecentado	akɾesentaðo
acrecentador	akɾesentaðoɾ
acrecentadora	akɾesentaðoɾa
acrecentadoras	akɾesentaðoɾas
acrecentadores	akɾesentaðoɾes
acrecentados	akɾesentaðos
acrecentamiento	akɾesentamjento
acrecentamientos	akɾesentamjentos
acrecentamos	akɾesentamos
acrecentando	akɾesentando
acrecentar	akɾesentaɾ
acrecentara	akɾesentaɾa
acrecentarais	akɾesentaɾais
acrecentaran	akɾesentaɾan
acrecentaras	akɾesentaɾas
acrecentare	akɾesentaɾe
acrecentareis	akɾesentaɾeis
acrecentaremos	akɾesentaɾemos
acrecentaren	akɾesentaɾen
acrecentares	akɾesentaɾes
acrecentarla	akɾesentaɾla
acrecentarlas	akɾesentaɾlas
acrecentarle	akɾesentaɾle
acrecentarles	akɾesentaɾles
acrecentarlo	akɾesentaɾlo
acrecentarlos	akɾesentaɾlos
acrecentarme	akɾesentaɾme
acrecentarnos	akɾesentaɾnos
acrecentaron	akɾesentaɾon
acrecentaros	akɾesentaɾos
acrecentarse	akɾesentaɾse
acrecentarte	akɾesentaɾte
acrecentará	akɾesentaˈɾa
acrecentarán	akɾesentaˈɾan
acrecentarás	akɾesentaˈɾas
acrecentaré	akɾesentaˈɾe
acrecentaréis	akɾesentaˈɾeis
acrecentaría	akɾesentaˈɾia
acrecentaríais	akɾesentaˈɾiais
acrecentaríamos	akɾesentaˈɾiamos
acrecentarían	akɾesentaˈɾian
acrecentarías	akɾesentaˈɾias
acrecentase	akɾesentase
acrecentaseis	akɾesentaseis
acrecentasen	akɾesentasen
acrecentases	akɾesentases
acrecentaste	akɾesentaste
acrecentasteis	akɾesentasteis
acrecentemos	akɾesentemos
acrecentábamos	akɾesenˈtaβamos
acrecentáis	akɾesenˈtais
acrecentándola	akɾesenˈtandola
acrecentándolas	akɾesenˈtandolas
acrecentándole	akɾesenˈtandole
acrecentándoles	akɾesenˈtandoles
acrecentándolo	akɾesenˈtandolo
acrecentándolos	akɾesenˈtandolos
acrecentándome	akɾesenˈtandome
acrecentándonos	akɾesenˈtandonos
acrecentándoos	akɾesenˈtandoos
acrecentándose	akɾesenˈtandose
acrecentándote	akɾesenˈtandote
acrecentáramos	akɾesenˈtaɾamos
acrecentáremos	akɾesenˈtaɾemos
acrecentásemos	akɾesenˈtasemos
acrecenté	akɾesenˈte
acrecentéis	akɾesenˈteis
acrecentó	akɾesenˈto
acrecer	akɾeseɾ
acreceremos	akɾeseɾemos
acrecerá	akɾeseˈɾa
acrecerán	akɾeseˈɾan
acrecerás	akɾeseˈɾas
acreceré	akɾeseˈɾe
acreceréis	akɾeseˈɾeis
acrecería	akɾeseˈɾia
acreceríais	akɾeseˈɾiais
acreceríamos	akɾeseˈɾiamos
acrecerían	akɾeseˈɾian
acrecerías	akɾeseˈɾias
acreces	akɾeses
acrecida	akɾesiða
acrecidas	akɾesiðas
acrecido	akɾesiðo
acrecidos	akɾesiðos
acreciendo	akɾesjendo
acrecienta	akɾesjenta
acrecientan	akɾesjentan
acrecientas	akɾesjentas
acreciente	akɾesjente
acrecienten	akɾesjenten
acrecientes	akɾesjentes
acreciento	akɾesjento
acreciera	akɾesjeɾa
acrecierais	akɾesjeɾais
acrecieran	akɾesjeɾan
acrecieras	akɾesjeɾas
acreciere	akɾesjeɾe
acreciereis	akɾesjeɾeis
acrecieren	akɾesjeɾen
acrecieres	akɾesjeɾes
acrecieron	akɾesjeɾon
acreciese	akɾesjese
acrecieseis	akɾesjeseis
acreciesen	akɾesjesen
acrecieses	akɾesjeses
acrecimiento	akɾesimjento
acrecimientos	akɾesimjentos
acrecimos	akɾesimos
acreciste	akɾesiste
acrecisteis	akɾesisteis
acreciéramos	akɾeˈsjeɾamos
acreciéremos	akɾeˈsjeɾemos
acreciésemos	akɾeˈsjesemos
acreció	akɾeˈsjo
acrecéis	akɾeˈseis
acrecí	akɾeˈsi
acrecía	akɾeˈsia
acrecíais	akɾeˈsiais
acrecíamos	akɾeˈsiamos
acrecían	akɾeˈsian
acrecías	akɾeˈsias
acredita	akɾeðita
acreditaba	akɾeðitaβa
acreditabais	akɾeðitaβais
acreditaban	akɾeðitaβan
acreditabas	akɾeðitaβas
acreditad	akɾeðitað
acreditada	akɾeðitaða
acreditadas	akɾeðitaðas
acreditado	akɾeðitaðo
acreditados	akɾeðitaðos
acreditamos	akɾeðitamos
acreditan	akɾeðitan
acreditando	akɾeðitando
acreditar	akɾeðitaɾ
acreditara	akɾeðitaɾa
acreditarais	akɾeðitaɾais
acreditaran	akɾeðitaɾan
acreditaras	akɾeðitaɾas
acreditare	akɾeðitaɾe
acreditareis	akɾeðitaɾeis
acreditaremos	akɾeðitaɾemos
acreditaren	akɾeðitaɾen
acreditares	akɾeðitaɾes
acreditarla	akɾeðitaɾla
acreditarlas	akɾeðitaɾlas
acreditarle	akɾeðitaɾle
acreditarles	akɾeðitaɾles
acreditarlo	akɾeðitaɾlo
acreditarlos	akɾeðitaɾlos
acreditarme	akɾeðitaɾme
acreditarnos	akɾeðitaɾnos
acreditaron	akɾeðitaɾon
acreditaros	akɾeðitaɾos
acreditarse	akɾeðitaɾse
acreditarte	akɾeðitaɾte
acreditará	akɾeðitaˈɾa
acreditarán	akɾeðitaˈɾan
acreditarás	akɾeðitaˈɾas
acreditaré	akɾeðitaˈɾe
acreditaréis	akɾeðitaˈɾeis
acreditaría	akɾeðitaˈɾia
acreditaríais	akɾeðitaˈɾiais
acreditaríamos	akɾeðitaˈɾiamos
acreditarían	akɾeðitaˈɾian
acreditarías	akɾeðitaˈɾias
acreditas	akɾeðitas
acreditase	akɾeðitase
acreditaseis	akɾeðitaseis
acreditasen	akɾeðitasen
acreditases	akɾeðitases
acreditaste	akɾeðitaste
acreditasteis	akɾeðitasteis
acreditativa	akɾeðitatiβa
acreditativas	akɾeðitatiβas
acreditativo	akɾeðitatiβo
acreditativos	akɾeðitatiβos
acredite	akɾeðite
acreditemos	akɾeðitemos
acrediten	akɾeðiten
acredites	akɾeðites
acredito	akɾeðito
acreditábamos	akɾeðiˈtaβamos
acreditáis	akɾeðiˈtais
acreditándola	akɾeðiˈtandola
acreditándolas	akɾeðiˈtandolas
acreditándole	akɾeðiˈtandole
acreditándoles	akɾeðiˈtandoles
acreditándolo	akɾeðiˈtandolo
acreditándolos	akɾeðiˈtandolos
acreditándome	akɾeðiˈtandome
acreditándonos	akɾeðiˈtandonos
acreditándoos	akɾeðiˈtandoos
acreditándose	akɾeðiˈtandose
acreditándote	akɾeðiˈtandote
acreditáramos	akɾeðiˈtaɾamos
acreditáremos	akɾeðiˈtaɾemos
acreditásemos	akɾeðiˈtasemos
acredité	akɾeðiˈte
acreditéis	akɾeðiˈteis
acreditó	akɾeðiˈto
acree	akɾee
acreed	akɾeeð
acreedor	akɾeeðoɾ
acreedora	akɾeeðoɾa
acreedoras	akɾeeðoɾas
acreedores	akɾeeðoɾes
acreemos	akɾeemos
acreen	akɾeen
acreer	akɾeeɾ
acreeremos	akɾeeɾemos
acreerá	akɾeeˈɾa
acreerán	akɾeeˈɾan
acreerás	akɾeeˈɾas
acreeré	akɾeeˈɾe
acreeréis	akɾeeˈɾeis
acreería	akɾeeˈɾia
acreeríais	akɾeeˈɾiais
acreeríamos	akɾeeˈɾiamos
acreerían	akɾeeˈɾian
acreerías	akɾeeˈɾias
acrees	akɾees
acreida	akɾeiða
acreidas	akɾeiðas
acreido	akɾeiðo
acreidos	akɾeiðos
acreiendo	akɾejendo
acreiera	akɾejeɾa
acreierais	akɾejeɾais
acreieran	akɾejeɾan
acreieras	akɾejeɾas
acreiere	akɾejeɾe
acreiereis	akɾejeɾeis
acreieren	akɾejeɾen
acreieres	akɾejeɾes
acreieron	akɾejeɾon
acreiese	akɾejese
acreieseis	akɾejeseis
acreiesen	akɾejesen
acreieses	akɾejeses
acreimos	akɾeimos
acreiste	akɾeiste
acreisteis	akɾeisteis
acreiéramos	akɾeˈjeɾamos
acreiéremos	akɾeˈjeɾemos
acreiésemos	akɾeˈjesemos
acreió	akɾeˈjo
acreo	akɾeo
acres	akɾes
acrescente	akɾessente
acrescentes	akɾessentes
acrezca	akɾeska
acrezcamos	akɾeskamos
acrezcan	akɾeskan
acrezcas	akɾeskas
acrezco	akɾesko
acrezcáis	akɾeˈskais
acreáis	akɾeˈais
acreéis	akɾeˈeis
acreí	akɾeˈi
acreía	akɾeˈia
acreíais	akɾeˈiais
acreíamos	akɾeˈiamos
acreían	akɾeˈian
acreías	akɾeˈias
acriance	akɾjanse
acriancemos	akɾjansemos
acriancen	akɾjansen
acriances	akɾjanses
acriancé	akɾjanˈse
acriancéis	akɾjanˈseis
acrianza	akɾjansa
acrianzaba	akɾjansaβa
acrianzabais	akɾjansaβais
acrianzaban	akɾjansaβan
acrianzabas	akɾjansaβas
acrianzad	akɾjansað
acrianzada	akɾjansaða
acrianzadas	akɾjansaðas
acrianzado	akɾjansaðo
acrianzados	akɾjansaðos
acrianzamos	akɾjansamos
acrianzan	akɾjansan
acrianzando	akɾjansando
acrianzar	akɾjansaɾ
acrianzara	akɾjansaɾa
acrianzarais	akɾjansaɾais
acrianzaran	akɾjansaɾan
acrianzaras	akɾjansaɾas
acrianzare	akɾjansaɾe
acrianzareis	akɾjansaɾeis
acrianzaremos	akɾjansaɾemos
acrianzaren	akɾjansaɾen
acrianzares	akɾjansaɾes
acrianzaron	akɾjansaɾon
acrianzará	akɾjansaˈɾa
acrianzarán	akɾjansaˈɾan
acrianzarás	akɾjansaˈɾas
acrianzaré	akɾjansaˈɾe
acrianzaréis	akɾjansaˈɾeis
acrianzaría	akɾjansaˈɾia
acrianzaríais	akɾjansaˈɾiais
acrianzaríamos	akɾjansaˈɾiamos
acrianzarían	akɾjansaˈɾian
acrianzarías	akɾjansaˈɾias
acrianzas	akɾjansas
acrianzase	akɾjansase
acrianzaseis	akɾjansaseis
acrianzasen	akɾjansasen
acrianzases	akɾjansases
acrianzaste	akɾjansaste
acrianzasteis	akɾjansasteis
acrianzo	akɾjanso
acrianzábamos	akɾjanˈsaβamos
acrianzáis	akɾjanˈsais
acrianzáramos	akɾjanˈsaɾamos
acrianzáremos	akɾjanˈsaɾemos
acrianzásemos	akɾjanˈsasemos
acrianzó	akɾjanˈso
acribilla	akɾiβiʎa
acribillaba	akɾiβiʎaβa
acribillabais	akɾiβiʎaβais
acribillaban	akɾiβiʎaβan
acribillabas	akɾiβiʎaβas
acribillad	akɾiβiʎað
acribillada	akɾiβiʎaða
acribilladas	akɾiβiʎaðas
acribillado	akɾiβiʎaðo
acribillados	akɾiβiʎaðos
acribillamos	akɾiβiʎamos
acribillan	akɾiβiʎan
acribillando	akɾiβiʎando
acribillar	akɾiβiʎaɾ
acribillara	akɾiβiʎaɾa
acribillarais	akɾiβiʎaɾais
acribillaran	akɾiβiʎaɾan
acribillaras	akɾiβiʎaɾas
acribillare	akɾiβiʎaɾe
acribillareis	akɾiβiʎaɾeis
acribillaremos	akɾiβiʎaɾemos
acribillaren	akɾiβiʎaɾen
acribillares	akɾiβiʎaɾes
acribillaron	akɾiβiʎaɾon
acribillará	akɾiβiʎaˈɾa
acribillarán	akɾiβiʎaˈɾan
acribillarás	akɾiβiʎaˈɾas
acribillaré	akɾiβiʎaˈɾe
acribillaréis	akɾiβiʎaˈɾeis
acribillaría	akɾiβiʎaˈɾia
acribillaríais	akɾiβiʎaˈɾiais
acribillaríamos	akɾiβiʎaˈɾiamos
acribillarían	akɾiβiʎaˈɾian
acribillarías	akɾiβiʎaˈɾias
acribillas	akɾiβiʎas
acribillase	akɾiβiʎase
acribillaseis	akɾiβiʎaseis
acribillasen	akɾiβiʎasen
acribillases	akɾiβiʎases
acribillaste	akɾiβiʎaste
acribillasteis	akɾiβiʎasteis
acribille	akɾiβiʎe
acribillemos	akɾiβiʎemos
acribillen	akɾiβiʎen
acribilles	akɾiβiʎes
acribillo	akɾiβiʎo
acribillábamos	akɾiβiˈʎaβamos
acribilláis	akɾiβiˈʎais
acribilláramos	akɾiβiˈʎaɾamos
acribilláremos	akɾiβiˈʎaɾemos
acribillásemos	akɾiβiˈʎasemos
acribillé	akɾiβiˈʎe
acribilléis	akɾiβiˈʎeis
acribilló	akɾiβiˈʎo
acrimonia	akɾimonja
acrimonias	akɾimonjas
acrisola	akɾisola
acrisolaba	akɾisolaβa
acrisolabais	akɾisolaβais
acrisolaban	akɾisolaβan
acrisolabas	akɾisolaβas
acrisolad	akɾisolað
acrisolada	akɾisolaða
acrisoladas	akɾisolaðas
acrisolado	akɾisolaðo
acrisolador	akɾisolaðoɾ
acrisoladora	akɾisolaðoɾa
acrisoladoras	akɾisolaðoɾas
acrisoladores	akɾisolaðoɾes
acrisolados	akɾisolaðos
acrisolamos	akɾisolamos
acrisolan	akɾisolan
acrisolando	akɾisolando
acrisolar	akɾisolaɾ
acrisolara	akɾisolaɾa
acrisolarais	akɾisolaɾais
acrisolaran	akɾisolaɾan
acrisolaras	akɾisolaɾas
acrisolare	akɾisolaɾe
acrisolareis	akɾisolaɾeis
acrisolaremos	akɾisolaɾemos
acrisolaren	akɾisolaɾen
acrisolares	akɾisolaɾes
acrisolaron	akɾisolaɾon
acrisolará	akɾisolaˈɾa
acrisolarán	akɾisolaˈɾan
acrisolarás	akɾisolaˈɾas
acrisolaré	akɾisolaˈɾe
acrisolaréis	akɾisolaˈɾeis
acrisolaría	akɾisolaˈɾia
acrisolaríais	akɾisolaˈɾiais
acrisolaríamos	akɾisolaˈɾiamos
acrisolarían	akɾisolaˈɾian
acrisolarías	akɾisolaˈɾias
acrisolas	akɾisolas
acrisolase	akɾisolase
acrisolaseis	akɾisolaseis
acrisolasen	akɾisolasen
acrisolases	akɾisolases
acrisolaste	akɾisolaste
acrisolasteis	akɾisolasteis
acrisole	akɾisole
acrisolemos	akɾisolemos
acrisolen	akɾisolen
acrisoles	akɾisoles
acrisolo	akɾisolo
acrisolábamos	akɾisoˈlaβamos
acrisoláis	akɾisoˈlais
acrisoláramos	akɾisoˈlaɾamos
acrisoláremos	akɾisoˈlaɾemos
acrisolásemos	akɾisoˈlasemos
acrisolé	akɾisoˈle
acrisoléis	akɾisoˈleis
acrisoló	akɾisoˈlo
acristala	akɾistala
acristalaba	akɾistalaβa
acristalabais	akɾistalaβais
acristalaban	akɾistalaβan
acristalabas	akɾistalaβas
acristalad	akɾistalað
acristalada	akɾistalaða
acristaladas	akɾistalaðas
acristalado	akɾistalaðo
acristalados	akɾistalaðos
acristalamiento	akɾistalamjento
acristalamientos	akɾistalamjentos
acristalamos	akɾistalamos
acristalan	akɾistalan
acristalando	akɾistalando
acristalar	akɾistalaɾ
acristalara	akɾistalaɾa
acristalarais	akɾistalaɾais
acristalaran	akɾistalaɾan
acristalaras	akɾistalaɾas
acristalare	akɾistalaɾe
acristalareis	akɾistalaɾeis
acristalaremos	akɾistalaɾemos
acristalaren	akɾistalaɾen
acristalares	akɾistalaɾes
acristalaron	akɾistalaɾon
acristalará	akɾistalaˈɾa
acristalarán	akɾistalaˈɾan
acristalarás	akɾistalaˈɾas
acristalaré	akɾistalaˈɾe
acristalaréis	akɾistalaˈɾeis
acristalaría	akɾistalaˈɾia
acristalaríais	akɾistalaˈɾiais
acristalaríamos	akɾistalaˈɾiamos
acristalarían	akɾistalaˈɾian
acristalarías	akɾistalaˈɾias
acristalas	akɾistalas
acristalase	akɾistalase
acristalaseis	akɾistalaseis
acristalasen	akɾistalasen
acristalases	akɾistalases
acristalaste	akɾistalaste
acristalasteis	akɾistalasteis
acristale	akɾistale
acristalemos	akɾistalemos
acristalen	akɾistalen
acristales	akɾistales
acristalo	akɾistalo
acristalábamos	akɾistaˈlaβamos
acristaláis	akɾistaˈlais
acristaláramos	akɾistaˈlaɾamos
acristaláremos	akɾistaˈlaɾemos
acristalásemos	akɾistaˈlasemos
acristalé	akɾistaˈle
acristaléis	akɾistaˈleis
acristaló	akɾistaˈlo
acritud	akɾituð
acritudes	akɾituðes
acrobacia	akɾoβasja
acrobacias	akɾoβasjas
acrobatismo	akɾoβatizmo
acrobatismos	akɾoβatizmos
acrobática	akɾoˈβatika
acrobáticas	akɾoˈβatikas
acrobático	akɾoˈβatiko
acrobáticos	akɾoˈβatikos
acrofobia	akɾofoβja
acrofobias	akɾofoβjas
acromatice	akɾomatise
acromaticemos	akɾomatisemos
acromaticen	akɾomatisen
acromatices	akɾomatises
acromaticé	akɾomatiˈse
acromaticéis	akɾomatiˈseis
acromatismo	akɾomatizmo
acromatismos	akɾomatizmos
acromatiza	akɾomatisa
acromatizaba	akɾomatisaβa
acromatizabais	akɾomatisaβais
acromatizaban	akɾomatisaβan
acromatizabas	akɾomatisaβas
acromatizad	akɾomatisað
acromatizada	akɾomatisaða
acromatizadas	akɾomatisaðas
acromatizado	akɾomatisaðo
acromatizados	akɾomatisaðos
acromatizamos	akɾomatisamos
acromatizan	akɾomatisan
acromatizando	akɾomatisando
acromatizar	akɾomatisaɾ
acromatizara	akɾomatisaɾa
acromatizarais	akɾomatisaɾais
acromatizaran	akɾomatisaɾan
acromatizaras	akɾomatisaɾas
acromatizare	akɾomatisaɾe
acromatizareis	akɾomatisaɾeis
acromatizaremos	akɾomatisaɾemos
acromatizaren	akɾomatisaɾen
acromatizares	akɾomatisaɾes
acromatizaron	akɾomatisaɾon
acromatizará	akɾomatisaˈɾa
acromatizarán	akɾomatisaˈɾan
acromatizarás	akɾomatisaˈɾas
acromatizaré	akɾomatisaˈɾe
acromatizaréis	akɾomatisaˈɾeis
acromatizaría	akɾomatisaˈɾia
acromatizaríais	akɾomatisaˈɾiais
acromatizaríamos	akɾomatisaˈɾiamos
acromatizarían	akɾomatisaˈɾian
acromatizarías	akɾomatisaˈɾias
acromatizas	akɾomatisas
acromatizase	akɾomatisase
acromatizaseis	akɾomatisaseis
acromatizasen	akɾomatisasen
acromatizases	akɾomatisases
acromatizaste	akɾomatisaste
acromatizasteis	akɾomatisasteis
acromatizo	akɾomatiso
acromatizábamos	akɾomatiˈsaβamos
acromatizáis	akɾomatiˈsais
acromatizáramos	akɾomatiˈsaɾamos
acromatizáremos	akɾomatiˈsaɾemos
acromatizásemos	akɾomatiˈsasemos
acromatizó	akɾomatiˈso
acromatopsia	akɾomatopsja
acromatopsias	akɾomatopsjas
acromegalia	akɾomeɣalja
acromegalias	akɾomeɣaljas
acromática	akɾoˈmatika
acromáticas	akɾoˈmatikas
acromático	akɾoˈmatiko
acromáticos	akɾoˈmatikos
acrática	aˈkɾatika
acráticas	aˈkɾatikas
acrático	aˈkɾatiko
acráticos	aˈkɾatikos
acrídido	aˈkɾiðiðo
acrídidos	aˈkɾiðiðos
acrílica	aˈkɾilika
acrílicas	aˈkɾilikas
acrílico	aˈkɾiliko
acrílicos	aˈkɾilikos
acrítica	aˈkɾitika
acríticas	aˈkɾitikas
acrítico	aˈkɾitiko
acríticos	aˈkɾitikos
acróbata	aˈkɾoβata
acróbatas	aˈkɾoβatas
acrónica	aˈkɾonika
acrónicas	aˈkɾonikas
acrónico	aˈkɾoniko
acrónicos	aˈkɾonikos
acrónimo	aˈkɾonimo
acrónimos	aˈkɾonimos
acrópolis	aˈkɾopolis
acróstica	aˈkɾostika
acrósticas	aˈkɾostikas
acróstico	aˈkɾostiko
acrósticos	aˈkɾostikos
acta	akta
actas	aktas
actea	aktea
acteas	akteas
actinia	aktinja
actinias	aktinjas
actinio	aktinjo
actinios	aktinjos
actinismo	aktinizmo
actinismos	aktinizmos
actinometría	aktinomeˈtɾia
actinometrías	aktinomeˈtɾias
actinomices	aktinomises
actinomicosis	aktinomikosis
actinomorfa	aktinomoɾfa
actinométrica	aktinoˈmetɾika
actinométricas	aktinoˈmetɾikas
actinométrico	aktinoˈmetɾiko
actinométricos	aktinoˈmetɾikos
actinota	aktinota
actinotas	aktinotas
actinógrafo	aktiˈnoɣɾafo
actinógrafos	aktiˈnoɣɾafos
actinómetro	aktiˈnometɾo
actinómetros	aktiˈnometɾos
actita	aktita
actitaba	aktitaβa
actitabais	aktitaβais
actitaban	aktitaβan
actitabas	aktitaβas
actitad	aktitað
actitada	aktitaða
actitadas	aktitaðas
actitado	aktitaðo
actitados	aktitaðos
actitamos	aktitamos
actitan	aktitan
actitando	aktitando
actitar	aktitaɾ
actitara	aktitaɾa
actitarais	aktitaɾais
actitaran	aktitaɾan
actitaras	aktitaɾas
actitare	aktitaɾe
actitareis	aktitaɾeis
actitaremos	aktitaɾemos
actitaren	aktitaɾen
actitares	aktitaɾes
actitaron	aktitaɾon
actitará	aktitaˈɾa
actitarán	aktitaˈɾan
actitarás	aktitaˈɾas
actitaré	aktitaˈɾe
actitaréis	aktitaˈɾeis
actitaría	aktitaˈɾia
actitaríais	aktitaˈɾiais
actitaríamos	aktitaˈɾiamos
actitarían	aktitaˈɾian
actitarías	aktitaˈɾias
actitas	aktitas
actitase	aktitase
actitaseis	aktitaseis
actitasen	aktitasen
actitases	aktitases
actitaste	aktitaste
actitasteis	aktitasteis
actite	aktite
actitemos	aktitemos
actiten	aktiten
actites	aktites
actito	aktito
actitud	aktituð
actitudes	aktituðes
actitábamos	aktiˈtaβamos
actitáis	aktiˈtais
actitáramos	aktiˈtaɾamos
actitáremos	aktiˈtaɾemos
actitásemos	aktiˈtasemos
actité	aktiˈte
actitéis	aktiˈteis
actitó	aktiˈto
activa	aktiβa
activaba	aktiβaβa
activabais	aktiβaβais
activaban	aktiβaβan
activabas	aktiβaβas
activaciones	aktiβasjones
activación	aktiβaˈsjon
activad	aktiβað
activada	aktiβaða
activadas	aktiβaðas
activado	aktiβaðo
activados	aktiβaðos
activamente	aktiβamente
activamos	aktiβamos
activan	aktiβan
activando	aktiβando
activar	aktiβaɾ
activara	aktiβaɾa
activarais	aktiβaɾais
activaran	aktiβaɾan
activaras	aktiβaɾas
activare	aktiβaɾe
activareis	aktiβaɾeis
activaremos	aktiβaɾemos
activaren	aktiβaɾen
activares	aktiβaɾes
activarla	aktiβaɾla
activarlas	aktiβaɾlas
activarle	aktiβaɾle
activarles	aktiβaɾles
activarlo	aktiβaɾlo
activarlos	aktiβaɾlos
activarme	aktiβaɾme
activarnos	aktiβaɾnos
activaron	aktiβaɾon
activaros	aktiβaɾos
activarse	aktiβaɾse
activarte	aktiβaɾte
activará	aktiβaˈɾa
activarán	aktiβaˈɾan
activarás	aktiβaˈɾas
activaré	aktiβaˈɾe
activaréis	aktiβaˈɾeis
activaría	aktiβaˈɾia
activaríais	aktiβaˈɾiais
activaríamos	aktiβaˈɾiamos
activarían	aktiβaˈɾian
activarías	aktiβaˈɾias
activas	aktiβas
activase	aktiβase
activaseis	aktiβaseis
activasen	aktiβasen
activases	aktiβases
activaste	aktiβaste
activasteis	aktiβasteis
active	aktiβe
activemos	aktiβemos
activen	aktiβen
actives	aktiβes
actividad	aktiβiðað
actividades	aktiβiðaðes
activista	aktiβista
activistas	aktiβistas
activo	aktiβo
activos	aktiβos
activábamos	aktiˈβaβamos
activáis	aktiˈβais
activándola	aktiˈβandola
activándolas	aktiˈβandolas
activándole	aktiˈβandole
activándoles	aktiˈβandoles
activándolo	aktiˈβandolo
activándolos	aktiˈβandolos
activándome	aktiˈβandome
activándomela	aktiˈβandomela
activándomelas	aktiˈβandomelas
activándomelo	aktiˈβandomelo
activándomelos	aktiˈβandomelos
activándonos	aktiˈβandonos
activándonosla	aktiˈβandonozla
activándonoslas	aktiˈβandonozlas
activándonoslo	aktiˈβandonozlo
activándonoslos	aktiˈβandonozlos
activándoos	aktiˈβandoos
activándoosla	aktiˈβandoozla
activándooslas	aktiˈβandoozlas
activándooslo	aktiˈβandoozlo
activándooslos	aktiˈβandoozlos
activándose	aktiˈβandose
activándosela	aktiˈβandosela
activándoselas	aktiˈβandoselas
activándoselo	aktiˈβandoselo
activándoselos	aktiˈβandoselos
activándote	aktiˈβandote
activándotela	aktiˈβandotela
activándotelas	aktiˈβandotelas
activándotelo	aktiˈβandotelo
activándotelos	aktiˈβandotelos
activáramos	aktiˈβaɾamos
activáremos	aktiˈβaɾemos
activármela	aktiˈβaɾmela
activármelas	aktiˈβaɾmelas
activármelo	aktiˈβaɾmelo
activármelos	aktiˈβaɾmelos
activárnosla	aktiˈβaɾnozla
activárnoslas	aktiˈβaɾnozlas
activárnoslo	aktiˈβaɾnozlo
activárnoslos	aktiˈβaɾnozlos
activárosla	aktiˈβaɾozla
activároslas	aktiˈβaɾozlas
activároslo	aktiˈβaɾozlo
activároslos	aktiˈβaɾozlos
activársela	aktiˈβaɾsela
activárselas	aktiˈβaɾselas
activárselo	aktiˈβaɾselo
activárselos	aktiˈβaɾselos
activártela	aktiˈβaɾtela
activártelas	aktiˈβaɾtelas
activártelo	aktiˈβaɾtelo
activártelos	aktiˈβaɾtelos
activásemos	aktiˈβasemos
activé	aktiˈβe
activéis	aktiˈβeis
activísima	aktiˈβisima
activísimas	aktiˈβisimas
activísimo	aktiˈβisimo
activísimos	aktiˈβisimos
activó	aktiˈβo
acto	akto
actor	aktoɾ
actores	aktoɾes
actos	aktos
actrices	aktɾises
actriz	aktɾis
actuaba	aktwaβa
actuabais	aktwaβais
actuaban	aktwaβan
actuabas	aktwaβas
actuaciones	aktwasjones
actuación	aktwaˈsjon
actuad	aktwað
actuada	aktwaða
actuadas	aktwaðas
actuado	aktwaðo
actuador	aktwaðoɾ
actuadora	aktwaðoɾa
actuadoras	aktwaðoɾas
actuadores	aktwaðoɾes
actuados	aktwaðos
actual	aktwal
actuales	aktwales
