1/2	h ˈɑ f
diamonds	d ˈa ɪ m ə n d z
diane	d a ɪ ˈæ n
diane's	d a ɪ ˈæ n z
dib's	d ˈɪ b z
dibs	d ˈɪ b z
dice	d ˈa ɪ s
did	d ˈɪ d
didn't	d ˈɪ d ə n t
didnt	d ˈɪ d n t
die	d ˈa ɪ
died	d ˈa ɪ d
dies	d ˈa ɪ z
diet	d ˈa ɪ ə t
differ	d ˈɪ f ɚ
difference	d ˈɪ f ɹ ə n s
differences	d ˈɪ f ɹ ə n s ɪ z
different	d ˈɪ f ɹ ə n t
difficult	d ˈɪ f ɪ k ʌ l t
difficulty	d ˈɪ f ɪ k ʌ l t i
diffuse	d ɪ f f j ˈu s
diffuse	d ɪ f f j ˈu z
dig	d ˈɪ ɡ
digest	d a ɪ d͡ʒ ˈɛ s t
digger	d ˈɪ ɡ ɡ ɚ
digging	d ˈɪ ɡ ɡ ɪ ŋ
diggings	d ˈɪ ɡ ɪ ŋ z
dignity	d ˈɪ ɡ n ə t i
digs	d ˈɪ ɡ z
dilapidated	d ɪ l ˈæ p ɪ d ˌe ɪ t ɪ d
dilemma	d ɪ l ˈɛ m m ə
dilemmas	d ə l ˈɛ m ə z
dim	d ˈɪ m
din	d ˈɪ n
dinner	d ˈɪ n ɚ
dino	d ˈi n o ʊ
dinos	d ˈi n o ʊ z
dinosaur	d ˈa ɪ n ə s ˌɔ ɹ
dinosaur's	d ˈa ɪ n ə s ˌɔ ɹ z
dinosaurs	d ˈa ɪ n ə s ˌɔ ɹ z
dip	d ˈɪ p
dipped	d ˈɪ p t
dips	d ˈɪ p s
dire	d a ɪ ə
direction	d a ɪ ɹ ˈɛ k ʃ ə n
directions	d a ɪ ɹ ˈɛ k ʃ ə n z
directly	d a ɪ ɹ ɛ k t l ˌi
dirt	d ˈɚ t
dirty	d ˈɚ t i
dis	d ˈɪ s
disadvantaged	d ɪ s ə d v ɑ n t ɪ d͡ʒ d
disappear	d ˌɪ s ə p ˈɪ ɹ
disappearance	d ˌɪ s ə p ˈɪ ɹ ə n s
disappearances	d ˌɪ s s ə p ˈɪ ɹ ə n s ɪ z
disappeared	d ˌɪ s ə p ˈɪ ɹ d
disappears	d ˌi s ɑ p ˈɪ ɹ z
disappoint	d ˌɪ s ə p ˈɔ ɪ n t
disappointing	d ˌɪ s ə p ˈɔ ɪ n t ɪ ŋ
disapproving	d ɪ s ə p p ɹ ˈu v ɪ ŋ
disaster	d ɪ z ˈæ s t ɚ
disbelief	d ˌɪ s b ɪ l ˈi f
discomfort	d ɪ s k ˈʌ m f ɚ t
discount	d ˈɪ s k a ʊ n t
discounts	d ˈɪ s k a ʊ n t s
discover	d ɪ s k ˈʌ v ɚ
discovered	d ə s k ˈɑ v ə ɹ d
discovery	d ɪ s k ˈʌ v ɚ ɹ i
disease	d ɪ z ˈi z
diseases	d ɪ z ˈi z ɪ z
disguise	d ɪ s ɡ ˈa ɪ z
disgust	d ɪ s ɡ ˈʌ s t
disgusted	d ə s ɡ ˈʌ s t ə d
disgusting	d ɪ s ɡ ˈʌ s t ɪ ŋ
dish	d ˈɪ ʃ
dishes	d ˈɪ ʃ ɪ z
dishonest	d ɪ s ˈɑ n ɪ s t
disinfect	d ɪ s ɪ n f ˈɛ k t
dislike	d ɪ s l ˈa ɪ k
dislodge	d ɪ s l ˈɑ d͡ʒ
dislodges	d ɪ s l ˈɑ d͡ʒ ə z
disorder	d ɪ s ˈɔ ɹ d ɚ
disparity	d ɪ s p æ ɹ ɪ t i
dispose	d ɪ s p ˈo ʊ z
disquiet	d ɪ s k w ˈa ɪ ə t
disrupt	d ɪ s ɹ ˈʌ p t
dissection	d a ɪ s ˈɛ k ʃ ə n
distance	d ˈɪ s t ə n s
distances	d ˈɪ s t ə n s ə z
distant	d ˈɪ s t ə n t
distinct	d ɪ s t ˈɪ ŋ k t
distinctive	d ɪ s t ˈɪ ŋ k t ɪ v
distract	d ɪ s t ɹ ˈæ k t
distracted	d ɪ s t ɹ ˈæ k t ɪ d
distraction	d ɪ s t ɹ ˈæ k ʃ ə n
distracts	d ɪ s t ɹ ˈæ k t s
distraught	d ɪ s t ɹ ˈɔ t
disturb	d ɪ s t ˈɚ b
disturbed	d ɪ s t ˈɚ b d
disturbing	d ɪ s t ˈɚ b ɪ ŋ
disturbs	d ˌi s t ˈɚ b z
ditch	d ˈɪ t͡ʃ
ditches	d ɪ t ʃ ɪ z
dive	d ˈa ɪ v
diversity	d ɪ v ˈɚ s ɪ t i
dives	d ˈa ɪ v z
divine	d ɪ v ˈa ɪ n
diving	d ˈa ɪ v ɪ ŋ
division	d ɪ v ˈɪ ʒ ə n
divorce	d ɪ v ˈɔ ɹ s
diya	d ˈa ɪ j ə
dizziness	d ˈɪ z i n ə s
dizzy	d ˈɪ z i
dna	d ˈi ˈɛ n ˈe ɪ
do	d ˈu
do's	d ˈʊ z
dock	d ˈɑ k
doctor	d ˈɑ k t ɚ
doctor's	d ˈɑ k t ɚ z
doctors	d ˈɑ k t ɚ z
document	d ˈɑ k j ə m ə n t
document	d ˈɑ k j ə m ɛ n t
documents	d ˈɑ k j ə m ə n t s
documents	d ˈɑ k j ə m ɛ n t s
dodge	d ˈɑ d͡ʒ
dodged	d ˈɑ d͡ʒ d
dodo	d ˈo ʊ d o ʊ
does	d ˈʌ z
doesn't	d ˈʌ z ə n t
doesnt	d ˈʌ z ə n t
dog	d ˈɔ ɡ
dog's	d ˈɔ ɡ z
dogged	d ˈɔ ɡ ɡ ɪ d
dogged	d ˈɔ ɡ d
dogs	d ˈɔ ɡ z
doing	d ˈu ɪ ŋ
doll	d ˈɑ l
doll's	d ˈɑ l z
dollars	d ˈɑ l ɚ z
dolls	d ˈɑ l z
dolphin	d ˈɑ l f ə n
dolphins	d ˈɑ l f ə n z
domesticated	d ə m ˈɛ s t ɪ k ˌe ɪ t ɪ d
domino	d ˈɑ m ɪ n o ʊ
don	d ˈɑ n
don's	d ˈɑ n z
don't	d ˈo ʊ n t
done	d ˈʌ n
donkey	d ˈɔ ŋ k i
donkey's	d ˈɔ ŋ k i z
dont	d ˈɑ n t
door	d ˈɔ ɹ
doors	d ˈɔ ɹ z
doorstep	d ˈɔ ɹ s t ˌɛ p
doorway	d ˈɔ ɹ w ˈe ɪ
dora	d ˈɔ ɹ ə
dora's	d ˈɔ ɹ ə z
doras	d ˈɔ ɹ ə z
dot	d ˈɑ t
dots	d ˈɑ t s
dotted	d ˈɑ t ə d
double	d ˈʌ b ə l
doubled	d ˈʌ b ə l d
doubtful	d ˈa ʊ t f ə l
doubtless	d ˈa ʊ t l ə s
dove	d ˈʌ v
doves	d ˈʌ v z
dow	d ˈa ʊ
dowel	d ˈa ʊ ə l
down	d ˈa ʊ n
downheaded	d ˈa ʊ n h ˈi d ɪ d
download	d ˈa ʊ n l ˌo ʊ d
downloading	d ˈa ʊ n l ˌo ʊ d ɪ ŋ
downloads	d ˈa ʊ n l ˌo ʊ d z
downstairs	d ˈa ʊ n s t ˈɛ ɹ z
doze	d ˈo ʊ z
dr	d ɑ k t ə
draco	d ɹ ˈe ɪ k o ʊ
draft	d ɹ ˈæ f t
drafts	d ɹ ˈæ f t s
drag	d ɹ ˈæ ɡ
dragged	d ɹ ˈæ ɡ d
dragging	d ɹ ˈæ ɡ ɪ ŋ ɡ
dragon	d ɹ ˈæ ɡ ə n
dragon's	d ɹ ˈæ ɡ ə n z
dragon-like	d ɹ ˈæ ɡ ə n l ˈa ɪ k
dragonflies	d ɹ ˈæ ɡ ə n f l ˈi z
dragonfly	d ɹ ˈæ ɡ ə n f l i
dragons	d ɹ ˈæ ɡ ə n z
drags	d ɹ ˈæ ɡ z
drain	d ɹ ˈe ɪ n
drained	d ɹ ˈe ɪ n d
drains	d ɹ ˈe ɪ n z
drama	d ɹ ˈɑ m ə
dramas	d ɹ ɑ m ə z
drank	d ɹ ˈæ ŋ k
draught	d ɹ ˈæ f t
draughts	d ɹ ˈæ f t s
draw	d ɹ ˈɔ
drawer	d ɹ ˈɔ ɹ
drawers	d ɹ ˈɔ ɹ z
drawing	d ɹ ˈɔ ɪ ŋ
drawings	d ɹ ˈɔ ɪ ŋ z
drawn	d ɹ ˈɔ n
draws	d ɹ ˈɔ z
dread	d ɹ ˈɛ d
dreadful	d ɹ ˈɛ d f ə l
dream	d ɹ ˈi m
dreaming	d ɹ ˈi m ˈɪ ŋ
dreams	d ɹ ˈi m z
dreamt	d ɹ ˈɛ m t
dress	d ɹ ˈɛ s
dressed	d ɹ ˈɛ s t
dresses	d ɹ ˈɛ s s ɪ z
drew	d ɹ ˈu
dried	d ɹ ˈa ɪ d
drier	d ɹ ˈa ɪ ɚ
dries	d ɹ ˈa ɪ z
drift	d ɹ ˈɪ f t
drifting	d ɹ ˈɪ f t ɪ ŋ
drifts	d ɹ ˈɪ f t s
drink	d ɹ ˈɪ ŋ k
drinking	d ɹ ˈɪ ŋ k ɪ ŋ
drinks	d ɹ ˈɪ ŋ k s
drip	d ɹ ˈɪ p
drippy	d ɹ ˈɪ p p i
drips	d ɹ ˈɪ p s
drive	d ɹ ˈa ɪ v
driver	d ɹ ˈa ɪ v ɚ
drivers	d ɹ ˈa ɪ v ɚ z
drives	d ɹ ˈa ɪ v z
driveway	d ɹ ˈa ɪ v w ˌe ɪ
driving	d ɹ ˈa ɪ v ɪ ŋ
droid	d ɹ ˌɔ i d
drone	d ɹ ˈo ʊ n
droop	d ɹ ˈu p
drooped	d ɹ ˈu p t
droops	d ɹ ˈu p s
drop	d ɹ ˈɑ p
dropped	d ɹ ˈɑ p t
dropping	d ɹ ˈɑ p ɪ ŋ
drops	d ɹ ˈɑ p s
drought	d ɹ ˈa ʊ t
drove	d ɹ ˈo ʊ v
drown	d ɹ ˈa ʊ n
drowned	d ɹ ˈa ʊ n d
druid	d ɹ ˈʊ ə d
drum	d ɹ ˈʌ m
drums	d ɹ ˈʌ m z
dry	d ɹ ˈa ɪ
duck	d ˈʌ k
duckling	d ˈʌ k l ɪ ŋ
duckling's	d ˈʌ k l ɪ ŋ z
ducks	d ˈʌ k s
due	d ˈu
duet	d u ˈɛ t
duets	d u ˈɛ t s
dug	d ˈʌ ɡ
dull	d ˈʌ l
duller	d ʌ l ə
dump	d ˈʌ m p
dumps	d ˈʌ m p s
dune	d ˈu n
dunes	d ˈu n z
dung	d ˈʌ ŋ
dungeon	d ˈʌ n d͡ʒ ə n
dunk	d ˈʌ ŋ k
duo	d ˈu o ʊ
duplicate	d ˈu p l ɪ k ˌe ɪ t
duplicate	d ˈu p l ɪ k ɪ t
duplicates	d ˈu p l ɪ k ɪ t s
duplicates	d ˈu p l ɪ k ˌe ɪ t s
during	d ˈʊ ɹ ɪ ŋ
dusk	d ˈʌ s k
dust	d ˈʌ s t
dusty	d ˈʌ s t i
duties	d ˈu t i z
duty	d ˈu t i
dwarf	d w ˈɔ ɹ f
dwindling	d w ˈɪ n d l ɪ ŋ
dye	d ˈa ɪ
dyes	d ˈa ɪ z
dzh	d͡ʒ ə
e	ˈi
e-a	ˈi ˌi ˈe ɪ
e-e	ˈi ˈi
e-i	ˈi ˈa ɪ
e-i-g-h	ˈi ˈa ɪ d͡ʒ ˈi ˈe ɪ t͡ʃ
e-l	ˈi ˈɛ l
e-s	ˈi ˈɛ s
e-w	ˈi d ˈʌ b ə l j ˌu
each	ˈi t͡ʃ
eachfield	ˈi t͡ʃ f ˈi l d
eager	ˈi ɡ ɚ
eagerly	ˈi ɡ ɚ l i
eagle	ˈi ɡ ə l
eagles	ˈi ɡ ə l z
ear	ˈɪ ɹ
earlier	ɚ l ˌi ʌ
early	ˈɚ l i
earn	ˈɚ n
earned	ˈɚ n d
earnest	ˈɚ n ɪ s t
earred	ˈɛ ɹ ɪ d
earring	ˈɪ ɹ ɪ ŋ
ears	ˈɪ ɹ z
earth	ˈɚ θ
earthquakes	ə ɹ θ k w ˈe ɪ k s
earthworm	ˈɚ θ w ˌɚ m
earthworms	ˈɚ θ w ˌɚ m z
ease	ˈi z
easier	ˈi z i ɚ
easiest	ˈi z i ɪ s t
easily	ˈi z ə l i
east	ˈi s t
easy	ˈi z i
eat	ˈi t
eaten	ˈi t ə n
eater	ˈi t ɚ
eaters	ˈi t ɚ z
eating	ˈi t ɪ ŋ
eats	ˈi t s
echidna	ɪ k ˈɪ d n ə
echoing	ˈɛ k o ʊ ɪ ŋ
ecology	ɪ k ˈɑ l ə d͡ʒ i
ecosystem	ˈi k o ʊ s ˌɪ s t ə m
ecosystems	ˈi k o ʊ s ˌɪ s t ə m z
edge	ˈɛ d͡ʒ
edges	ˈɛ d͡ʒ ɪ z
edna	ˈɛ d n ə
edna's	ˈɛ d n ə z
ednas	ˈɛ d n ə z
educated	ˈɛ d͡ʒ ə k ˌe ɪ t ɪ d
educational	ɛ d j u k e ɪ ʃ ə n l
eee	ˈi
eel	ˈi l
eerie	ˈɪ ɹ i
eeyore	ˈi ˈɔ ɹ
effect	ɛ f ɛ k t
effective	ɪ f ˈɛ k t ɪ v
effects	ə f ɛ k t s
efficiency	ə f i ʃ ə n s i
effort	ˈɛ f ɚ t
efforts	ˈɛ f ɚ t s
egg	ˈɛ ɡ
eggs	ˈɛ ɡ z
ego	ˈi ɡ o ʊ
egos	ˈi ɡ o ʊ z
egypt	ˈi d͡ʒ ɪ p t
egyptian	ɪ d͡ʒ ˈɪ p ʃ ə n
ehh	ˈɛ
eight	ˈe ɪ t
eighteen	e ɪ t ˈi n
eighteenth	e ɪ t ˈi n θ
eighty	ˈe ɪ t i
either	ˈi ð ɚ
ejaculate	ɪ d͡ʒ ˈæ k j u l ɪ t
ejaculate	ɪ d͡ʒ ˈæ k j u l ˌe ɪ t
ejaculates	ɪ d͡ʒ ˈæ k j u l ɪ t s
ejaculates	ɪ d͡ʒ ˈæ k j u l ˌe ɪ t s
ejected	ɪ d͡ʒ ˈɛ k t ɪ d
elaborate	ɪ l ˈæ b b ɚ ɪ t
elaborate	ɪ l ˈæ b ɚ ɹ ɪ t
elaborate	ɪ l ˈæ b ɚ ɹ ˌe ɪ t
elder	ˈɛ l d ɚ
elders	ˈɛ l d ɚ z
elect	ɪ l ˈɛ k t
electric	ɪ l ˈɛ k t ɹ ɪ k
electricity	ɪ l ˌɛ k t ɹ ˈɪ s ə t i
electrics	ɪ l ˈɛ k t ɹ ɪ k s
electron	ɪ l ˈɛ k t ɹ ɔ n
elephant	ˈɛ l ə f ə n t
elephant's	ˈɛ l ə f ə n t s
elephants	ˈɛ l ə f ə n t s
eleven	ɪ l ˈɛ v ə n
elf	ˈɛ l f
eliminate	ɪ l ˈɪ m ə n ˌe ɪ t
elixir	ə l ˈɪ k s ˈɚ
ella	ˈɛ l ə
eloise	ˈɛ l o ʊ i z
else	ˈɛ l s
elsewhere	ˈɛ l s w ˌɛ ɹ
elsewheres	ˈɛ l s w ˌɛ ɹ z
elves	ˈɛ l v z
elytra	ˈɛ l a ɪ t ɹ ʌ
email	i i m ˈe ɪ l
emails	i i m ˈe ɪ l z
embarrassed	ɪ m b ˈɛ ɹ ɹ ə s t
embarrassing	ɪ m b ˈɛ ɹ ə s ɪ ŋ
embed	ɪ m b ˈɛ d
embedded	ɛ m b ɛ d ə d
emerald	ˈɛ m ˈɚ l d
emeralds	ˈɛ m ɚ ɹ ə l d z
emerge	ɪ m ˈɚ d͡ʒ
emily	ˈɛ m m ɪ l i
emma	ˈɛ m m ə
emma's	ˈɛ m m ə z
emmas	ˈɛ m ə z
emotion	ɪ m ˈo ʊ ʃ ə n
emotions	ɪ m ˈo ʊ ʃ ə n z
emotive	ɪ m ˈo ʊ t ɪ v
emperor	ˈɛ m p ɚ ɚ
empty	ˈɛ m p t i
enable	ɪ n ˈe ɪ b ə l
encase	ɪ ŋ k ˈe ɪ s
enchanted	ˈɛ n t͡ʃ ˈæ n t ə d
enchanting	ɪ n t͡ʃ ˈæ n t ɪ ŋ
enchantment	ɪ n t͡ʃ ˈæ n t m ə n t
enchantments	b ˈʊ k k ˌe ɪ s ə z
enclose	ɪ ŋ k l ˈo ʊ z
encourage	ɪ ŋ k ˈɚ ɹ ɪ d͡ʒ
encouraged	ɛ n k ʌ ɹ ə d͡ʒ d
encouraging	ə n k ʌ ɹ ə d͡ʒ i ŋ
end	ˈɛ n d
endangered	ɪ n d ˈe ɪ n d͡ʒ ɚ d
ended	ˈɛ n d ɪ d
ender	ˈɛ n d ɚ
enderdragon	ˈɛ n d ɚ d ɹ ˈæ ɡ ə n
enderman	ˈɛ n d ɚ m ə n
ending	ˈɛ n d ɪ ŋ
endless	ˈɛ n d l ə s
ends	ˈɛ n d z
energy	ˈɛ n ɚ d͡ʒ i
engage	ɪ ŋ ɡ ˈe ɪ d͡ʒ
engine	ˈɛ n d͡ʒ ə n
engineer	ˈɛ n d͡ʒ ə n ˈɪ ɹ
england	ɪ ŋ l ə n d
english	ˈɪ ŋ ɡ l ɪ ʃ
englishes	ɪ ŋ ɡ l ɪ ʃ ə z
enjoy	ɪ n d͡ʒ ˈɔ ɪ
enjoyed	ɪ n d͡ʒ ˈɔ ɪ d
enjoying	ɪ n d͡ʒ ˈɔ ɪ ɪ ŋ
enjoys	ɪ n d͡ʒ ˈɔ ɪ z
enlist	ɪ n l ˈɪ s t
enormous	ɪ n ˈɔ ɹ m ə s
enough	ɪ n ˈʌ f
enrage	ɛ n ɹ e ɪ d ʒ
enslaved	ɪ n s l ˈe ɪ v d
ensure	ə n ʃ ˈo ʊ ɹ
enter	ˈɛ n t ɚ
entered	ˈɛ n t ɚ d
entering	ˈɛ n t ɚ ɹ ɪ ŋ
enthusiastic	ɪ n θ ˌu z i ˈæ s t ɪ k
entire	ɪ n t ˈa ɪ ɚ
entirely	ɪ n t ˈa ɪ ɚ l i
entrails	ˈɛ n t ɹ ˈe ɪ l z
entrance	ˈɛ n t ɹ ə n s
entrance	ɪ n t ɹ ˈæ n s
entrances	ɪ n t ɹ ˈæ n s ɪ z
entrances	ˈɛ n t ɹ ə n s ɪ z
entries	ˈɛ n t ɹ i z
envelope	ˈɛ n v ə l ˌo ʊ p
environment	ɪ n v ˈa ɪ ɹ ə n m ə n t
environmental	ɪ n v ˌa ɪ ɹ ə n m ˈɛ n t ə l
eon	ˈi ɔ n
equal	ˈi k w ə l
equate	ɪ k w ˈe ɪ t
equipment	ɪ k w ˈɪ p m ə n t
era	ˈɛ ɹ ə
error	ˈɛ ɹ ɚ
escape	ɪ s k ˈe ɪ p
escaped	ɪ s k ˈe ɪ p t
escaping	ˈɛ s k ˈe ɪ p ˌi ŋ
escort	ˈɛ s k ɔ ɹ t
escort	ɪ s k ˈɔ ɹ t
escorts	ˈɛ s k ɔ ɹ t s
escorts	ɪ s k ˈɔ ɹ t s
especially	ɪ s p ˈɛ ʃ l l i
estimate	ˈɛ s t ɪ m ɪ t
estimate	ˈɛ s t ɪ m ˌe ɪ t
estimates	ˈɛ s t ɪ m ɪ t s
estimates	ˈɛ s t ɪ m ˌe ɪ t s
europe	j ˈʊ ɹ ə p
european	j ˌʊ ɹ ə p ˈi ə n
european-style	j ˌʊ ɹ ə p ˈi ə n s t ˈa ɪ l
evacuate	ɪ v ˈæ k j u ˌe ɪ t
evaporation	ɪ v ˌæ p ɚ ɹ ɹ ˈe ɪ ʃ ə n
evasive	ɪ v ˈe ɪ s ɪ v
even	ˈi v ə n
evening	ˈi v ə n ɪ ŋ
evenly	ˈi v ə n l i
evenly-coated	ˈi v ə n l i k ˈo ʊ t ɪ d
evens	ˈi v ə n z
event	ɪ v ˈɛ n t
events	ɪ v ˈɛ n t s
eventually	ɪ v ˈɛ n t͡ʃ u ə l i
ever	ˈɛ v ɚ
every	ˈɛ v ɹ i
everybody	ˈɛ v ɹ i b ˌɑ d i
everyday	ˈɛ v ɹ i d ˈe ɪ
everyone	ˈɛ v ɹ i w ˌʌ n
everything	ˈɛ v ɹ i θ ˌɪ ŋ
everywhere	ˈɛ v ɹ i w ˌɛ ɹ
everywheres	ˈɛ v ɹ i w ˌɛ ɹ z
evil	ˈi v ə l
evolution	ˌɛ v ə l ˈu ʃ ə n
evolve	ɪ v ˈɑ l v
evolved	ɪ v ˈɑ l v d
exact	ə ɡ s ˌæ k t
exactly	ɪ ɡ z ˈæ k t l i
exam	ɪ ɡ z ˈæ m
examine	ɪ ɡ z ˈæ m ɪ n
examines	ɪ ɡ z ˈæ m ə n z
example	ɪ ɡ z ˈæ m p ə l
examples	ˈɛ ɡ z ˈæ m p ə l z
excellent	ˈɛ k s ə l ə n t
except	ɪ k s ˈɛ p t
excise	ɪ k s s ˈa ɪ s
excise	ˈɛ k s s ˌa ɪ z
excited	ɪ k s ˈa ɪ t ɪ d
excitedly	ɪ k s s ˈa ɪ t ɪ d l i
excitement	ɪ k s ˈa ɪ t m ə n t
exciting	ɪ k s ˈa ɪ t ɪ ŋ
exclaim	ɪ k s k l ˈe ɪ m
exclaimed	ɪ k s k l ˈe ɪ m d
exclaims	ɪ k s k l ˈe ɪ m z
exclamation	ˌɛ k s k l ə m ˈe ɪ ʃ ə n
exclusion	ɪ k s k l ˈu ʒ ə n
excursion	ɪ k s k ˈɚ ʒ ə n
excuse	ɪ k s k j ˈu z
excuse	ɪ k s k j ˈu s
excuse	ɪ k s k j ˈu z
excuses	ɪ k s k j ˈu s ɪ z
excuses	ɪ k s k j ˈu z ɪ z
exercise	ˈɛ k s ɚ s ˌa ɪ z
exhausted	ɪ ɡ z ˈɔ s t ɪ d
exist	ɪ ɡ z ˈɪ s t
existed	ə ɡ z ˈɪ s t ə d
existence	ɪ ɡ z ˈɪ s t ə n s
existing	ɪ ɡ z ˈɪ s t ɪ ŋ
exists	ə ɡ z ˈɪ s t s
exit	ˈɛ k s ɪ t
exited	ˈɛ ɡ z ɪ t ɪ d
exits	ˈɛ ɡ z ɪ t s
expanding	ɪ k s p ˈæ n d ɪ ŋ
expansion	ɪ k s p ˈæ n ʃ ə n
expatriate	ˌɛ k s p ˈe ɪ t ɹ i ˌe ɪ t
expatriate	ˌɛ k s p ˈe ɪ t ɹ i ɪ t
expatriates	ˌɛ k s p ˈe ɪ t ɹ i ˌe ɪ t s
expatriates	ˌɛ k s p ˈe ɪ t ɹ i ɪ t s
expect	ɪ k s p ˈɛ k t
expected	ɪ k s p ˈɛ k t ɪ d
expecting	ˈɛ k s p ˈɛ k t ˌi ŋ
expedition	ˈɛ k s p ə d ˌi t͡ʃ ə n
expensive	ɪ k s p ˈɛ n s ɪ v
experience	ɪ k s p ˈɪ ɹ i ə n s
experienced	ɪ k s p ˈɪ ɹ i ə n s t
experiences	ɪ k s p ˈɪ ɹ i ə n s ɪ z
experiment	ɪ k s p ˈɛ ɹ ɪ m ə n t
experiments	ɪ k s p ˈɛ ɹ ɪ m ə n t s
expert	ˈɛ k s p ɚ t
experts	ɛ k s p ɚ t s
expiration	ˌɛ k s p ɚ ˈe ɪ ʃ ə n
explain	ɪ k s p l ˈe ɪ n
explained	ɪ k s p l ˈe ɪ n d
explains	ɪ k s p l ˈe ɪ n z
explanation	ˌɛ k s p l ə n e ɪ ʃ ə n
explode	ɪ k s p l ˈo ʊ d
exploded	ɪ k s p l ˈo ʊ d ɪ d
explodes	ə k s p l ˈo ʊ d z
exploding	ɪ k s p l ˈo ʊ d ɪ ŋ
exploit	ˈɛ k s p l ɔ ɪ t
exploit	ɪ k s p l ˈɔ ɪ t
exploits	ɪ k s p l ˈɔ ɪ t s
exploits	ˈɛ k s p l ɔ ɪ t s
explore	ɪ k s p l ˈɔ ɹ
explored	ɪ k s p l ˈɔ ɹ d
explorer	ɪ k s p l ˈɔ ɹ ɚ
exploring	ɪ k s p l ˈɔ ɹ ɪ ŋ
explosion	ɪ k s p l ˈo ʊ ʒ ə n
export	ɪ k s p ˈɔ ɹ t
export	ˈɛ k s p ɔ ɹ t
exports	ɪ k s p ˈɔ ɹ t s
exports	ˈɛ k s p ɔ ɹ t s
express	ɪ k s p ɹ ˈɛ s
expression	ɪ k s p ɹ ˈɛ s ʃ ə n
extinct	ɪ k s t ˈɪ ŋ k t
extra	ˈɛ k s t ɹ ə
extract	ˈɛ k s s t ɹ æ k t
extremely	ɪ k s t ɹ ˈi m l i
eye	a ɪ
eyed	ˈa ɪ d
eyes	a ɪ z
eyeshadow	ˈa ɪ ʃ ˌæ d o ʊ
eyespot	ˈa ɪ s p ˌɑ t
eyespots	a ɪ s p ˈɑ t s
f	ˈɛ f
fab	f ˈæ b
fabric	f ˈæ b ɹ ɪ k
fabulous	f ˈæ b j ˈu l ə s
face	f ˈe ɪ s
faced	f ˈe ɪ s d
faces	f ˈe ɪ s ɪ z
fact	f ˈæ k t
factories	f ˈæ k t ə ɹ i z
factory	f ˈæ k t ɚ ɹ i
facts	f ˈæ k t s
fade	f ˈe ɪ d
faded	f ˈe ɪ d ɪ d
fafa	f ˈɑ f ə
fail	f ˈe ɪ l
failed	f ˈe ɪ l d
fails	f ˈe ɪ l z
faint	f ˈe ɪ n t
faints	f ˈe ɪ n t s
fair	f ˈɛ ɹ
fairies	f ˈɛ ɹ i z
fairly	f ˈɛ ɹ l i
fairness	f ˈɛ ɹ n ə s
fairy	f ˈɛ ɹ i
faithful	f ˈe ɪ θ f ə l
fall	f ˈɔ l
fallen	f ˈɔ l ə n
falling	f ˈɔ l ɪ ŋ
falls	f ˈɔ l z
false	f ˈɔ l s
familiar	f ə m ˈɪ l ˈi j ɚ
families	f ˈæ m ɪ l i z
family	f ˈæ m ɪ l i
famous	f ˈe ɪ m ə s
fan	f ˈæ n
fancy	f ˈæ n s i
fandom	f ˈæ n d ə m
fang	f ˈæ ŋ
fangs	f ˈæ ŋ z
fans	f ˈæ n z
fantastic	f æ n t ˈæ s t ɪ k
far	f ˈɑ ɹ
far-away	f ˈɑ ɹ ə w ˈe ɪ
fare	f ˈɛ ɹ
farewell	f ˌɛ ɹ w ˈɛ l
farm	f ˈɑ ɹ m
farmer	f ˈɑ ɹ m ɚ
farmer's	f ˈɑ ɹ m ɚ z
farmers	f ˈɑ ɹ m ɚ z
farmhouse	f ˈɑ ɹ m h ˌa ʊ s
farming	f ˈɑ ɹ m ɪ ŋ
farms	f ˈɑ ɹ m z
fart	f ˈɑ ɹ t
farther	f ˈɑ ɹ ð ɚ
farts	f ˈɑ ɹ t s
fascinated	f ˈæ s s ə n ˌe ɪ t ɪ d
fashion	f ˈæ ʃ ə n
fashioned	f ˈæ ʃ ə n d
fast	f ˈæ s t
fastened	f ˈæ s ə n d
faster	f ˈæ s t ɚ
fat	f ˈæ t
fatal	f ˈe ɪ t ə l
father	f ˈɑ ð ɚ
father's	f ˈɑ ð ɚ z
fathers	f ˈɑ ð ɚ z
fault	f ˈɔ l t
faulty	f ˈɔ l t i
fauna	f ˈɔ n ə
favor	f ˈe ɪ v ɚ
favorite	f ˈe ɪ v ɚ ɹ ɪ t
favorites	f ˈe ɪ v ɚ ɹ ɪ t s
favour	f ˈe ɪ v ɚ
favourite	f ˈe ɪ v ɚ ɹ ɪ t
favourites	f ˈæ v ˈa ʊ ɹ ɪ t s
fawn	f ˈɔ n
fay	f ˈe ɪ
fear	f ˈɪ ɹ
fears	f ˈɪ ɹ z
fearsome	f ˈɪ ɹ s ə m
feast	f ˈi s t
feat	f ˈi t
feather	f ˈɛ ð ɚ
feathered	f ˈɛ ð ɚ d
feathers	f ˈɛ ð ɚ z
feathery	f ˈɛ ð ɚ ɹ i
feature	f ˈi t͡ʃ ɚ
february	f ˈɛ b j u ˌɛ ɹ i
fed	f ˈɛ d
feed	f ˈi d
feeder	f ˈi d ɚ
feeding	f ˈi d ɪ ŋ
feeds	f ˈi d z
feel	f ˈi l
feeler	f ˈi l ɚ
feelers	f ˈi l ɚ z
feeling	f ˈi l ɪ ŋ
feels	f ˈi l z
